Evaluated expression,complexity,seed,F1 score,accuracy,precision,recall
"godel_norm(fuzzy_not(godel_conorm(type_CASH_OUT, godel_conorm(oldbalanceDest, is_workday))), type_TRANSFER)",8,13,0.0697986577181208,0.99538,0.04727272727272727,0.13333333333333333
"fuzzy_not(godel_conorm(fuzzy_not(type_TRANSFER), godel_conorm(oldbalanceDest, godel_conorm(is_workday, newbalanceOrig))))",9,13,0.07275320970042795,0.9956666666666667,0.05039525691699605,0.13076923076923078
type_TRANSFER,1,14,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"godel_norm(type_TRANSFER, fuzzy_not(newbalanceOrig))",4,14,0.015053763440860216,0.9190866666666667,0.007647907647907648,0.4756410256410256
"fuzzy_not(godel_conorm(newbalanceDest, fuzzy_not(type_TRANSFER)))",5,14,0.04566768603465851,0.9843966666666667,0.024806201550387597,0.28717948717948716
"godel_norm(fuzzy_not(fuzzy_not(fuzzy_not(oldbalanceDest))), type_TRANSFER)",6,14,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"godel_norm(type_TRANSFER, fuzzy_not(godel_s_implication(fuzzy_not(is_workday), oldbalanceDest)))",8,14,0.0697986577181208,0.99538,0.04727272727272727,0.13333333333333333
type_TRANSFER,1,15,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"godel_norm(fuzzy_not(newbalanceOrig), type_TRANSFER)",4,15,0.015053763440860216,0.9190866666666667,0.007647907647907648,0.4756410256410256
"fuzzy_not(godel_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest))",5,15,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"fuzzy_not(godel_conorm(oldbalanceDest, godel_s_implication(type_TRANSFER, is_workday)))",7,15,0.0697986577181208,0.99538,0.04727272727272727,0.13333333333333333
"godel_norm(fuzzy_not(godel_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest)), fuzzy_not(godel_conorm(is_workday, newbalanceOrig)))",10,15,0.07275320970042795,0.9956666666666667,0.05039525691699605,0.13076923076923078
