Evaluated expression,complexity,seed,F1 score,accuracy,precision,recall
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(fuzzy_not(oldbalanceDest), type_TRANSFER)), type_DEBIT)",8,6,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(type_TRANSFER, fuzzy_not(lukasiewicz_conorm(oldbalanceDest, oldbalanceDest)))), type_DEBIT)",10,6,0.07287069208376373,0.983545,0.03931502685175803,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(lukasiewicz_conorm(newbalanceOrig, fuzzy_not(type_TRANSFER)), fuzzy_not(fuzzy_not(oldbalanceDest))), type_DEBIT)",11,6,0.07241143749390067,0.9841583333333334,0.03918876095912116,0.4756410256410256
"lukasiewicz_s_implication(fuzzy_not(fuzzy_not(lukasiewicz_conorm(fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_norm(type_TRANSFER, fuzzy_not(oldbalanceDest))))), maxDest7))), lukasiewicz_norm(type_CASH_IN, type_TRANSFER))",16,6,0.13530655391120508,0.997955,0.15023474178403756,0.12307692307692308
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,7,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,7,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest), type_DEBIT)",7,7,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), lukasiewicz_conorm(oldbalanceDest, oldbalanceDest)), type_DEBIT)",9,7,0.07287069208376373,0.983545,0.03931502685175803,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), newbalanceOrig), oldbalanceDest), lukasiewicz_norm(type_DEBIT, fuzzy_not(newbalanceOrig)))",12,7,0.09243802167684065,0.9878583333333333,0.05119359735062785,0.4756410256410256
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), lukasiewicz_conorm(oldbalanceDest, newbalanceDest)), lukasiewicz_norm(type_TRANSFER, fuzzy_not(fuzzy_not(type_DEBIT))))",13,7,0.12013729977116705,0.9974366666666666,0.10847107438016529,0.1346153846153846
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,8,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,8,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(is_workday, fuzzy_not(type_TRANSFER)), type_DEBIT)",7,8,0.017788420422474988,0.9808583333333334,0.009529918445890222,0.13333333333333333
"lukasiewicz_s_implication(lukasiewicz_conorm(newbalanceDest, lukasiewicz_conorm(newbalanceOrig, fuzzy_not(type_TRANSFER))), type_DEBIT)",9,8,0.03573251659009699,0.990555,0.020600353148911125,0.1346153846153846
"lukasiewicz_s_implication(fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_norm(fuzzy_not(oldbalanceDest), type_TRANSFER)))), type_DEBIT)",10,8,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), fuzzy_not(maxDest3)), oldbalanceDest), lukasiewicz_norm(type_DEBIT, oldbalanceOrig))",12,8,0.050182179529645585,0.9808833333333333,0.026823654390934846,0.38846153846153847
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(fuzzy_not(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER))), fuzzy_not(lukasiewicz_conorm(type_DEBIT, oldbalanceDest)))), type_DEBIT)",14,8,0.07287069208376373,0.983545,0.03931502685175803,0.49743589743589745
"lukasiewicz_s_implication(fuzzy_not(fuzzy_not(lukasiewicz_conorm(lukasiewicz_conorm(type_DEBIT, lukasiewicz_conorm(newbalanceOrig, lukasiewicz_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER)))), type_DEBIT))), type_DEBIT)",15,8,0.07241143749390067,0.9841583333333334,0.03918876095912116,0.4756410256410256
"lukasiewicz_s_implication(lukasiewicz_conorm(lukasiewicz_norm(type_CASH_IN, lukasiewicz_norm(type_TRANSFER, newbalanceDest)), lukasiewicz_conorm(newbalanceDest, lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), newbalanceOrig), type_DEBIT))), lukasiewicz_norm(type_CASH_OUT, type_TRANSFER))",19,8,0.10375494071146243,0.9969766666666666,0.08440514469453377,0.1346153846153846
"lukasiewicz_s_implication(fuzzy_not(fuzzy_not(lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(lukasiewicz_conorm(fuzzy_not(newbalanceOrig), oldbalanceDest)), lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(fuzzy_not(fuzzy_not(type_TRANSFER))), type_DEBIT), oldbalanceDest)), oldbalanceDest))), lukasiewicz_norm(type_TRANSFER, type_CASH_OUT))",23,8,0.11604629340006255,0.99058,0.06608478802992519,0.4756410256410256
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,9,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,9,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(meanDest3), oldbalanceDest), type_DEBIT)",7,9,0.01653191349503714,0.9002566666666667,0.008373285390864297,0.6448717948717949
