Evaluated expression,complexity,seed,F1 score,accuracy,precision,recall
"lukasiewicz_s_implication(lukasiewicz_s_implication(type_TRANSFER, type_TRANSFER), lukasiewicz_norm(type_TRANSFER, fuzzy_not(lukasiewicz_conorm(fuzzy_not(fuzzy_not(oldbalanceDest)), newbalanceDest))))",14,8,0.12013729977116705,0.9974366666666666,0.10847107438016529,0.1346153846153846
"lukasiewicz_s_implication(lukasiewicz_s_implication(oldbalanceDest, fuzzy_not(fuzzy_not(oldbalanceDest))), lukasiewicz_norm(fuzzy_not(lukasiewicz_conorm(fuzzy_not(fuzzy_not(oldbalanceDest)), lukasiewicz_conorm(oldbalanceDest, oldbalanceDest))), newbalanceDest))",18,8,0.16298168035375868,0.9977916666666666,0.16064757160647572,0.16538461538461538
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,9,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,9,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(fuzzy_not(newbalanceDest), type_TRANSFER)), type_DEBIT)",8,9,0.0327892849301032,0.977975,0.017387254521462392,0.28717948717948716
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(type_PAYMENT, type_TRANSFER)), lukasiewicz_norm(type_TRANSFER, fuzzy_not(newbalanceDest)))",10,9,0.04566768603465851,0.9843966666666667,0.024806201550387597,0.28717948717948716
"lukasiewicz_s_implication(lukasiewicz_conorm(meanDest3, lukasiewicz_conorm(oldbalanceOrig, fuzzy_not(type_TRANSFER))), lukasiewicz_norm(fuzzy_not(oldbalanceDest), type_TRANSFER))",12,9,0.048001979463070645,0.97435,0.025217730404263616,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(fuzzy_not(type_TRANSFER)))), oldbalanceDest), lukasiewicz_norm(lukasiewicz_norm(type_DEBIT, oldbalanceDest), type_TRANSFER))",15,9,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), fuzzy_not(fuzzy_not(lukasiewicz_conorm(newbalanceDest, oldbalanceDest)))), lukasiewicz_norm(type_TRANSFER, lukasiewicz_norm(fuzzy_not(type_TRANSFER), type_TRANSFER)))",16,9,0.12013729977116705,0.9974366666666666,0.10847107438016529,0.1346153846153846
"lukasiewicz_s_implication(lukasiewicz_s_implication(lukasiewicz_conorm(type_CASH_OUT, fuzzy_not(maxDest7)), lukasiewicz_s_implication(type_TRANSFER, oldbalanceDest)), lukasiewicz_norm(lukasiewicz_norm(lukasiewicz_norm(lukasiewicz_norm(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), type_DEBIT), type_TRANSFER), oldbalanceOrig), oldbalanceOrig), type_DEBIT))",24,9,0.13530655391120508,0.997955,0.15023474178403756,0.12307692307692308
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,10,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,10,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), newbalanceDest), type_DEBIT)",7,10,0.0327892849301032,0.977975,0.017387254521462392,0.28717948717948716
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(fuzzy_not(oldbalanceDest), type_TRANSFER)), type_DEBIT)",8,10,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), fuzzy_not(fuzzy_not(oldbalanceDest))), lukasiewicz_norm(type_DEBIT, type_TRANSFER))",11,10,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"lukasiewicz_s_implication(fuzzy_not(fuzzy_not(lukasiewicz_conorm(newbalanceOrig, fuzzy_not(fuzzy_not(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest)))))), type_DEBIT)",13,10,0.07241143749390067,0.9841583333333334,0.03918876095912116,0.4756410256410256
"lukasiewicz_s_implication(lukasiewicz_conorm(lukasiewicz_conorm(oldbalanceDest, oldbalanceDest), fuzzy_not(fuzzy_not(fuzzy_not(type_TRANSFER)))), lukasiewicz_norm(type_TRANSFER, fuzzy_not(lukasiewicz_conorm(type_TRANSFER, type_TRANSFER))))",16,10,0.11418481459682167,0.9899666666666667,0.06449468085106383,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(newbalanceDest), fuzzy_not(lukasiewicz_norm(fuzzy_not(oldbalanceDest), lukasiewicz_norm(fuzzy_not(oldbalanceDest), fuzzy_not(fuzzy_not(fuzzy_not(oldbalanceDest))))))), lukasiewicz_norm(fuzzy_not(oldbalanceDest), oldbalanceDest))",20,10,0.16298168035375868,0.9977916666666666,0.16064757160647572,0.16538461538461538
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,11,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
